seed,epoch,candidate_policy_id,weak_candidate_policy_id,active_class,dominant_issue,original_ops,retained_op,retained_op_source,legacy_image_evidence,original_causal_score,current_replay_causal_score,original_causal_accept,current_replay_causal_accept,original_rejection_reasons,original_estimated_precision_drop,original_non_active_fp_delta,original_high_confidence_fp_delta,original_high_fp_spillover_rate,original_non_active_regression_rate,ratio_0_50_accepted,ratio_0_50_rejection_reasons,ratio_0_25_accepted,ratio_0_25_rejection_reasons,selected_attenuation_ratio,selected_prob_multiplier,selected_strength_multiplier,selected_max_aug_samples_per_interval,final_decision,sampler_only_involved,final_val_leakage
0,5,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,8,low_recall,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.15200000000000002,-0.15200000000000002,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.04,0.05,0.036000000000000004,0.055,0.066,False,high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,10,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,8,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.08850000000000001,-0.08850000000000001,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.027,0.05,0.036000000000000004,0.045,0.054,False,high_fp_spillover_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,15,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,12,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.1125,-0.1125,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.033,0.05,0.05,0.055,0.066,False,high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,20,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,9,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.09183333333333332,-0.09183333333333332,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.027,0.05,0.05,0.045,0.054,False,high_fp_spillover_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,25,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,9,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",local_contrast,same_epoch_low_contrast_proxy,True,0.01726315789473684,-0.10273684210526315,True,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.03,0.05,0.05,0.05,0.06,False,high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,True,,0.25,0.25,0.25,16,weak_roi_texture,False,False
0,30,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,0.0,0.0,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,35,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,0.0,0.0,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,40,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,6,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.08123684210526316,-0.08123684210526316,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.024,0.048,0.042,0.04,0.048,False,high_fp_spillover_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
0,45,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,0.0,0.0,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
1,5,candidate_policy_1_roi_texture,candidate_policy_1b_weak_roi_texture,6,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",,same_epoch_low_contrast_proxy,False,-0.11525,-0.11525,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,0.033,0.05,0.03,0.055,0.066,False,high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;no_prior_image_causal_evidence,False,no_prior_image_causal_evidence,,,,,strict_noop,False,False
