seed,epoch,candidate_policy_id,active_class,dominant_issue,op_list,candidate_action,is_image_candidate,is_sampler_candidate,original_causal_score,current_replay_causal_score,original_causal_accept,current_replay_causal_accept,original_causal_decision,legacy_original_selected_candidate,legacy_original_image_modification_allowed,legacy_original_candidate_class_id,estimated_precision_drop,non_active_fp_delta,high_confidence_fp_delta,fp_increase_rate,high_fp_spillover_rate,non_active_regression_rate,ok_class_false_activation,bbox_instability_rate,final_decision_under_precision_gate,final_accepted,precision_gate_reject,rejection_reasons,final_action,selected_by_precision_gate,executable_policy_would_be_generated,roi_augmentation_allowed,sampler_only_pending,sampler_only_effective,attenuation_candidate,accepted_if_relax_estimated_precision_drop,accepted_if_relax_non_active_fp_delta,accepted_if_relax_high_confidence_fp_delta,accepted_if_relax_all_precision_gates,final_val_leakage,policy_selection_source,policy_selection_data
0,5,candidate_policy_1_roi_texture,8,low_recall,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.15200000000000002,-0.15200000000000002,False,False,reject,candidate_policy_3_sampler_only,False,,0.04,0.05,0.036000000000000004,0.02,0.055,0.066,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,5,candidate_policy_2_roi_low_contrast,8,low_recall,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.15200000000000002,-0.15200000000000002,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.02,0.055,0.066,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,5,candidate_policy_3_sampler_only,8,low_recall,[],sampler_only,False,True,-0.02,-0.15200000000000002,False,True,sampler_only,candidate_policy_3_sampler_only,False,8,0.0,0.0,0.0,0.02,0.055,0.066,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,10,candidate_policy_1_roi_texture,8,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.08850000000000001,-0.08850000000000001,False,False,reject,candidate_policy_3_sampler_only,False,,0.027,0.05,0.036000000000000004,0.0,0.045,0.054,0.0,0.03,reject,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,10,candidate_policy_2_roi_low_contrast,8,texture_boundary_weak,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.096,-0.096,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.045,0.054,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,10,candidate_policy_3_sampler_only,8,texture_boundary_weak,[],sampler_only,False,True,0.0075,-0.1005,False,True,sampler_only,candidate_policy_3_sampler_only,False,8,0.0,0.0,0.0,0.0,0.045,0.054,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,15,candidate_policy_1_roi_texture,12,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.1125,-0.1125,False,False,reject,candidate_policy_3_sampler_only,False,,0.033,0.05,0.05,0.0,0.055,0.066,0.0,0.03,reject,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,15,candidate_policy_2_roi_low_contrast,12,texture_boundary_weak,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.12000000000000001,-0.12000000000000001,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.055,0.066,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,15,candidate_policy_3_sampler_only,12,texture_boundary_weak,[],sampler_only,False,True,0.0075,-0.1245,False,True,sampler_only,candidate_policy_3_sampler_only,False,12,0.0,0.0,0.0,0.0,0.055,0.066,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,20,candidate_policy_1_roi_texture,9,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.09183333333333332,-0.09183333333333332,False,False,reject,candidate_policy_3_sampler_only,False,,0.027,0.05,0.05,0.003333333333333334,0.045,0.054,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,20,candidate_policy_2_roi_low_contrast,9,low_contrast_fn,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.09183333333333332,-0.09183333333333332,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.003333333333333334,0.045,0.054,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,20,candidate_policy_3_sampler_only,9,low_contrast_fn,[],sampler_only,False,True,0.011666666666666665,-0.09633333333333333,False,True,sampler_only,candidate_policy_3_sampler_only,False,9,0.0,0.0,0.0,0.003333333333333334,0.045,0.054,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,25,candidate_policy_1_roi_texture,9,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,0.01726315789473684,-0.10273684210526315,True,False,reject,candidate_policy_1_roi_texture,True,9,0.03,0.05,0.05,0.004736842105263157,0.05,0.06,0.0,0.0,reject,False,True,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,True,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,25,candidate_policy_2_roi_low_contrast,9,texture_boundary_weak,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.11273684210526315,-0.11273684210526315,False,False,reject,candidate_policy_1_roi_texture,True,,0.0,0.0,0.0,0.004736842105263157,0.05,0.06,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,25,candidate_policy_3_sampler_only,9,texture_boundary_weak,[],sampler_only,False,True,-0.11723684210526315,-0.11723684210526315,False,True,sampler_only,candidate_policy_1_roi_texture,True,,0.0,0.0,0.0,0.004736842105263157,0.05,0.06,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,30,candidate_policy_1_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,30,candidate_policy_2_roi_low_contrast,-1,,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,30,candidate_policy_3_sampler_only,-1,,[],sampler_only,False,True,0.0,0.0,False,True,sampler_only,candidate_policy_3_sampler_only,False,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,35,candidate_policy_1_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,35,candidate_policy_2_roi_low_contrast,-1,,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,35,candidate_policy_3_sampler_only,-1,,[],sampler_only,False,True,0.0,0.0,False,True,sampler_only,candidate_policy_3_sampler_only,False,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,40,candidate_policy_1_roi_texture,6,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.08123684210526316,-0.08123684210526316,False,False,reject,candidate_policy_3_sampler_only,False,,0.024,0.048,0.042,0.004736842105263157,0.04,0.048,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,40,candidate_policy_2_roi_low_contrast,6,low_contrast_fn,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.08123684210526316,-0.08123684210526316,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.004736842105263157,0.04,0.048,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,40,candidate_policy_3_sampler_only,6,low_contrast_fn,[],sampler_only,False,True,0.0,-0.08573684210526317,False,True,sampler_only,candidate_policy_3_sampler_only,False,-1,0.0,0.0,0.0,0.004736842105263157,0.04,0.048,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,45,candidate_policy_1_roi_texture,-1,,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,45,candidate_policy_2_roi_low_contrast,-1,,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,0.0,0.0,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
0,45,candidate_policy_3_sampler_only,-1,,[],sampler_only,False,True,0.0,0.0,False,True,sampler_only,candidate_policy_3_sampler_only,False,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,5,candidate_policy_1_roi_texture,6,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.11525,-0.11525,False,False,reject,candidate_policy_3_sampler_only,False,,0.033,0.05,0.03,0.004,0.055,0.066,0.0,0.027500000000000004,reject,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,5,candidate_policy_2_roi_low_contrast,8,low_recall,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.14,-0.14,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.02,0.05,0.06,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,5,candidate_policy_3_sampler_only,8,low_recall,[],sampler_only,False,True,-0.14,-0.14,False,True,sampler_only,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.02,0.05,0.06,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,10,candidate_policy_1_roi_texture,6,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.1125,-0.1125,False,False,reject,candidate_policy_3_sampler_only,False,,0.033,0.05,0.036000000000000004,0.0,0.055,0.066,0.0,0.03,reject,False,False,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,10,candidate_policy_2_roi_low_contrast,6,texture_boundary_weak,"[""local_contrast"", ""gamma""]",roi_image_aug,True,False,-0.12000000000000001,-0.12000000000000001,False,False,reject,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.055,0.066,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,10,candidate_policy_3_sampler_only,6,texture_boundary_weak,[],sampler_only,False,True,-0.1245,-0.1245,False,True,sampler_only,candidate_policy_3_sampler_only,False,,0.0,0.0,0.0,0.0,0.055,0.066,0.0,0.0,sampler_only,True,False,,strict_noop,True,False,False,True,False,False,True,True,True,True,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
1,15,candidate_policy_1_roi_texture,6,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",roi_image_aug,True,False,-0.11701612903225807,-0.11701612903225807,False,False,reject,candidate_policy_3_sampler_only,False,,0.033,0.05,0.048,0.004516129032258065,0.055,0.066,0.0,0.0,reject,False,False,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,not_selected,False,False,False,False,False,False,False,False,False,False,False,probe_split,E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position_paper_probe\probe.yaml
